 history_operation_id | order | type |                                                                                                                                                                                                                             details                                                                                                                                                                                                                             
----------------------+-------+------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    71639796799246337 |     1 |   20 | {"limit": "922337203685.4775807", "asset_code": "ITC", "asset_type": "credit_alphanum4", "asset_issuer": "GDYNTLU4SXVDHEZKQ7NQCDUPMJ2WGBGJLGHA3YZNPFHBMN7ZBYBJXTUX"}
    71639796799250433 |     1 |    2 | {"amount": "0.0000025", "asset_code": "ETH", "asset_type": "credit_alphanum4", "asset_issuer": "GBSTRH4QOTWNSVA6E4HFERETX4ZLSR3CIUBLK7AXYII277PFJC4BBYOG"}
    71639796799250433 |     2 |    3 | {"amount": "0.0000025", "asset_code": "ETH", "asset_type": "credit_alphanum4", "asset_issuer": "GBSTRH4QOTWNSVA6E4HFERETX4ZLSR3CIUBLK7AXYII277PFJC4BBYOG"}
    71639805389180949 |     1 |    2 | {"amount": "0.0018468", "asset_code": "BTC", "asset_type": "credit_alphanum4", "asset_issuer": "GCNSGHUCG5VMGLT5RIYYZSO7VQULQKAJ62QA33DBC5PPBSO57LFWVV6P"}
    71639805389180949 |     2 |    3 | {"amount": "0.0018468", "asset_code": "BTC", "asset_type": "credit_alphanum4", "asset_issuer": "GCNSGHUCG5VMGLT5RIYYZSO7VQULQKAJ62QA33DBC5PPBSO57LFWVV6P"}
    71639805389185025 |     1 |   33 | {"seller": "GBTZNVCRH2GS5ZSETYM5NAWS6QYTBQCHCCQCE343PR76B7GG5AWURAOD", "offer_id": 1588903, "sold_amount": "0.5000000", "bought_amount": "0.0000153", "sold_asset_code": "XLM", "sold_asset_type": "credit_alphanum4", "bought_asset_code": "BTC", "bought_asset_type": "credit_alphanum4", "sold_asset_issuer": "GBSTRH4QOTWNSVA6E4HFERETX4ZLSR3CIUBLK7AXYII277PFJC4BBYOG", "bought_asset_issuer": "GBSTRH4QOTWNSVA6E4HFERETX4ZLSR3CIUBLK7AXYII277PFJC4BBYOG"}
    71639805389185025 |     2 |   33 | {"seller": "GD3IYBNQ45LXHFABSX4HLGDL7BQA62SVB5NB5O6XMBCITFZOLWLVS22B", "offer_id": 1588903, "sold_amount": "0.0000153", "bought_amount": "0.5000000", "sold_asset_code": "BTC", "sold_asset_type": "credit_alphanum4", "bought_asset_code": "XLM", "bought_asset_type": "credit_alphanum4", "sold_asset_issuer": "GBSTRH4QOTWNSVA6E4HFERETX4ZLSR3CIUBLK7AXYII277PFJC4BBYOG", "bought_asset_issuer": "GBSTRH4QOTWNSVA6E4HFERETX4ZLSR3CIUBLK7AXYII277PFJC4BBYOG"}
    71639805389189121 |     1 |    2 | {"amount": "1388.8888788", "asset_type": "native"}
    71639805389189121 |     2 |    3 | {"amount": "1388.8888788", "asset_type": "native"}
    71639813979115521 |     1 |    0 | {"starting_balance": "200.5188961"}
    71639813979115521 |     2 |    3 | {"amount": "200.5188961", "asset_type": "native"}
    71639813979115521 |     3 |   10 | {"weight": 1, "public_key": "GCGHKOZZLJZKQV6T2DNISWRQ3C2J63UHXJH3VT5UCPIH74CRPPXTNBD6"}
    71639813979127809 |     1 |    2 | {"amount": "15.0000000", "asset_type": "native"}
    71639813979127809 |     2 |    3 | {"amount": "15.0000000", "asset_type": "native"}
    71639813979131905 |     1 |    0 | {"starting_balance": "300.0000000"}
    71639813979131905 |     2 |    3 | {"amount": "300.0000000", "asset_type": "native"}
    71639813979131905 |     3 |   10 | {"weight": 1, "public_key": "GB5IUCNJDQNEFAMDH6J6YH5CJ7JFVUL7IDZZQCZCRKHRRJG2R6D5AJVU"}
    71639822569050113 |     1 |    2 | {"amount": "7999.9999800", "asset_type": "native"}
    71639822569050113 |     2 |    3 | {"amount": "7999.9999800", "asset_type": "native"}
    71639822569054209 |     1 |   33 | {"seller": "GBBMSYSNV7PC6XAI3JL6F5OWP54TIONGDDTEJ4AQS3YMFUSPDSSSDQVB", "offer_id": 1613639, "sold_amount": "0.0002111", "bought_amount": "0.5141256", "sold_asset_code": "ETH", "sold_asset_type": "credit_alphanum4", "bought_asset_code": "XLM", "bought_asset_type": "credit_alphanum4", "sold_asset_issuer": "GBSTRH4QOTWNSVA6E4HFERETX4ZLSR3CIUBLK7AXYII277PFJC4BBYOG", "bought_asset_issuer": "GBSTRH4QOTWNSVA6E4HFERETX4ZLSR3CIUBLK7AXYII277PFJC4BBYOG"}
    71639822569054209 |     2 |   33 | {"seller": "GD3IYBNQ45LXHFABSX4HLGDL7BQA62SVB5NB5O6XMBCITFZOLWLVS22B", "offer_id": 1613639, "sold_amount": "0.5141256", "bought_amount": "0.0002111", "sold_asset_code": "XLM", "sold_asset_type": "credit_alphanum4", "bought_asset_code": "ETH", "bought_asset_type": "credit_alphanum4", "sold_asset_issuer": "GBSTRH4QOTWNSVA6E4HFERETX4ZLSR3CIUBLK7AXYII277PFJC4BBYOG", "bought_asset_issuer": "GBSTRH4QOTWNSVA6E4HFERETX4ZLSR3CIUBLK7AXYII277PFJC4BBYOG"}
    71639839748931585 |     1 |    7 | {"inflation_destination": "GA3FUYFOPWZ25YXTCA73RK2UGONHCO27OHQRSGV3VCE67UEPEFEDCOPA"}
